#r=3.8,x0=0.6,x=rx(1-x)
#i	x_i
0	0.6
1	0.9119999999999999
2	0.3049728000000002
3	0.8054646867886082
4	0.5954270354755226
5	0.9153959874213428
6	0.29429545981014105
7	0.7892054401520591
8	0.6321688108685244
9	0.8836193406476808
10	0.3907775656279469
11	0.9046677473534017
12	0.327727254157309
13	0.8372239839513144
14	0.517863941662414
15	0.948787342435471
16	0.18464170082488762
17	0.5720867439372451
18	0.930253305124399
19	0.2465519550322172
20	0.7059035363076331
21	0.7888941881968425
22	0.6328525624991318
23	0.8829307472221741
24	0.39278336276109604
25	0.9063174522568888
26	0.3226432863675895
27	0.8304694652921423
28	0.5350017435361971
29	0.9453445362078198
30	0.1963393274653992
31	0.5996027446321689
32	0.912301314394608
33	0.3040289793642186
34	0.8040623644696864
35	0.5986750983497937
36	0.9130002548695024
37	0.30183700001535896
38	0.8007794166609311
39	0.6062206215498179
40	0.9071252823187673
41	0.3201462170880832
42	0.8270799437346379
43	0.5434710995448752
44	0.9428190013165662
45	0.20486306187739614
46	0.6189979134713344
47	0.8961900870399815
48	0.35352697673875716
49	0.8684734831355033
50	0.4340637104587618
51	0.9334791417418292
52	0.23596416796411507
53	0.6850833017242483
54	0.8198278514068332
55	0.5612985527650567
56	0.9357214522298563
57	0.22855790105347937
58	0.6700129102941277
59	0.8401633192666194
60	0.5102978816569608
61	0.949597023806841
62	0.18187756149931733
63	0.5654328336650416
64	0.9337304682585393
65	0.23513594743606717
66	0.6834187279057589
67	0.822158766963046
68	0.5556121697016293
69	0.9382476890080933
70	0.22016805970044903
71	0.6524375237151164
72	0.8616986451816926
73	0.4528615422801665
74	0.9415562700544227
75	0.2091066294273779
76	0.6284479784362168
77	0.8873042439754668
78	0.3799826058746499
79	0.8952641354079695
80	0.3563118003887235
81	0.8715440649113858
82	0.42542902975067093
83	0.92886884750508
84	0.25107174423072476
85	0.7145319492227319
86	0.7751089624982417
87	0.662397223261936
88	0.8497831391318891
89	0.4850766712003578
90	0.9491537181786435
91	0.18339156229593895
92	0.569084569263456
93	0.9318638247007944
94	0.24127582027624567
95	0.6956348355398276
96	0.8045626422685573
97	0.5975180683507001
98	0.9138628601115631
99	0.2991266254770515
100	0.7966695721495003
101	0.6155512268504032
102	0.8992620730987932
103	0.3442412285424447
104	0.8578089794333256
105	0.4634963901001516
106	0.9449364485642626
107	0.19771991560828087
108	0.6027816522045136
109	0.9098565414864195
110	0.3116669385230054
